id;nome;descricao;periodicidade
1;Iraq programming;system-worthy Czech Republic synergistic;MENSAL
2;synthesize Berkshire;synthesizing Regional tertiary;MENSAL
3;interface Designer;Berkshire;MENSAL
4;relationships;Gorgeous Practical Granite Computer connecting;ESPORADICO
5;plum payment Rustic;bluetooth;ESPORADICO
6;leverage;Orchestrator copying;MENSAL
7;Tactics deposit transform;card;ESPORADICO
8;Rubber back up;Ergonomic Hat Group;MENSAL
9;Ford Cotton;copying;ESPORADICO
10;neural navigate hack;Fresh Fantastic Fresh Shoes infrastructures;ESPORADICO
